
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.654 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.418	10.36	
Aelurodon_asthenostylus	18.611	13.824	
Aelurodon_ferox	18.81	6.868	
Aelurodon_mcgrewi	14.793	12.324	
Aelurodon_montanensis	13.856	13.856	
Aelurodon_stirtoni	20.941	10.334	
Aelurodon_taxoides	22.326	4.905	
Aelurodon_wheelerianus	18.171	18.171	
Alopex	4.627	4.627	
Alopex_lagopus	1.354	0.001	
Archaeocyon_falkenbachi	23.893	23.893	
Archaeocyon_leptodus	31.688	20.924	
Archaeocyon_pavidus	32.989	28.31	
Borophaginae	22.649	5.156	
Borophagus	14.639	2.023	
Borophagus_diversidens	4.845	1.823	
Borophagus_dudleyi	3.965	3.965	
Borophagus_hilli	17.23	2.254	
Borophagus_littoralis	13.491	5.656	
Borophagus_orc	8.166	3.618	
Borophagus_parvus	8.444	7.714	
Borophagus_pugnator	21.502	5.592	
Borophagus_secundus	20.696	5.204	
Caedocyon_tedfordi	20.798	20.798	
Canidae	36.782	0.036	
Caninae	25.369	0.016	
Canini	8.279	2.822	
Canis	11.288	0.003	
Canis_(Pseudalopex)	0.614	0.055	
Canis_adustus	2.738	0.002	extant
Canis_anthus	1.274	1.2	extant
Canis_apolloniensis	1.13	1.13	
Canis_armbrusteri	3.802	0.064	
Canis_aureus	3.191	0.001	extant
Canis_cedazoensis	1.036	1.036	
Canis_dirus	2.416	0.013	
Canis_edwardii	9.677	0.345	
Canis_familiaris	0.704	0.002	extant
Canis_ferox	9.182	2.174	
Canis_latrans	4.774	0.003	extant
Canis_lepophagus	9.105	0.077	
Canis_lupus	3.386	0.003	extant
Canis_mesomelas	5.307	0.002	extant
Canis_proplatensis	1.822	1.822	
Canis_rufus	3.988	0.097	extant
Canis_thooides	4.875	4.875	
Carpocyon	15.097	9.619	
Carpocyon_compressus	19.741	12.68	
Carpocyon_limosus	8.271	5.532	
Carpocyon_robustus	16.736	10.797	
Carpocyon_webbi	15.498	9.198	
Cerdocyon_avius	4.04	3.177	
Cerdocyon_texanus	7.124	2.907	
Cerdocyon_thous	0.088	0.002	
Chailicyon_crassidens	39.808	39.808	
Chrysocyon	0.283	0.283	
Chrysocyon_brachyurus	2.155	0.859	
Chrysocyon_nearcticus	3.045	2.638	
Cormocyon	28.301	28.301	
Cormocyon_copei	26.785	7.706	
Cormocyon_haydeni	29.641	20.637	
Cubacyon_transversidens	1.291	1.291	
Cuon	0.752	0.093	
Cuon_alpinus	2.255	0.059	
Cynarctoides_acridens	25.906	13.793	
Cynarctoides_emryi	19.755	18.885	
Cynarctoides_gawnae	16.067	15.665	
Cynarctoides_harlowi	22.882	22.882	
